perturbation,selection_hash,n_cells_HepG2,n_cells_Jurkat
EIF3A,0034b1cd1ea99574f59e3dc8559d8456e399c7dc5031e37da40f56689fc54603,63,56
ARPC2,00ea6daca50bf32072b4d5015e4899187e12500a7be34c082ef07363d3241392,99,140
TIMM23B,0157ab3cec826707506f5b65c48d7d1f9dfe519aa0ba3ce2497d07ae7ae83d3a,269,256
RBMX2,02e2f59769a950980e7d19842ec096de3c49c02e0bbbd55e7d001f1ee5776399,114,150
RPS7,03104d39c0a5994a8e171f5cbaadd3df505d95e49f1bf979a65cf714e3bbd1e8,71,82
TSR1,037a4191270f22ae1e287c1c46e42f06ac9299d67cd82db32c09090171868217,182,416
EIF2S2,03a46676f32da7a58092b3746b4456adf6aa6260993876817a4d8536be1cce44,72,57
GAR1,05a3b29fccdfb22f242c53aa15b1cfeb65df6a81772efeb31c246726a0a7d13c,55,114
WDR12,06117f244e98640eb64c34248bdf51531c02d675ba4445357b98a56221aeb1e4,110,103
NRBP1,06d45199b89871e2b7fdb36ddbf83513c525cbeea64c7682068f5d72442fa461,50,83
INTS13,07381bf153b29c9b1f6c0581eead2ef1b860d7b69e386cbccb58a41e1db72c49,157,330
NOM1,076baa898890a1e9824f5f32b8e0012a9e4f27719331e5fa7bbf2dd47905d51a,131,298
CCNH,0a6e137943d5e441bc122ca63ca394636bacce5cb9bd1072b1d659f8b316cfc1,98,221
RPL41,0a95fc7c9879d4eac37023fb007be2d29f94bb80a609caca56df989dc29c8c77,109,230
DNAJC8,0afc24b81bf15bb0d459189fe7c876e67ab983f727bb1d26da4f16e7d5e57b75,84,134
TARS2,0b6469935e3c9aec7137703774073df5b86ae3466b6129bf4803c0644a8ec866,62,133
NOLC1,0c3ca8dd898ba7ba897a8e8d019f5e6c5cbe6fb4203634303f11aa32dd644b66,84,129
COX10,0c94d81c4d56919f6c251cdb9fef1c685bf54f454c2d01513c31ace268da2056,64,146
ANKS6,0ca5823d9ea82456558a2539da8eafeb893522a99ac87f70a9ef627aebdd4d3a,63,167
RCC1,0d4ca600825b163e2a451930b9cce30db13066a9d9b5286d4337ba296d466dd9,170,145
HUWE1,0d88b6b45ae128c1dbf2e12b8b3b389d47590fd44ab29df6235be86039b1ee78,58,84
POLR1C,0da16876cde2bb0b6fc67771a80b25feaea57b09fab7fc509080db5dc469276e,188,312
TNRC6A,0eea29ea5cd53e1753cf782877b57000d7a240cf639097be68305dbbd348e6d9,89,168
EIF2B3,0ef9f683cd15c03aefce888b79b0a93ee70ab84eb51dc7716e1eb6a226bec568,75,73
GTF3C6,0f19a9d244e81fe0fd364edcefaa2a243f9b17bc6841ea6a8a58b30f65890831,53,97
PCID2,0f2a6564956ef2ff6bf2546440cfd1bf792d2312d51ed96012b65dd74d7a0acd,67,124
TMX2,0f2bac84b30bbf692f31744b0f9032de8d6e61e623c4c3dc1b17a9fcbf579de8,70,217
CCDC115,0fc75179fa33a90fa2974eb3cd466e74441c2a795a93c5f3479485ac206072e5,69,100
RRP7A,10c1beb4373e3d4d4c131a1c1af33cc35264b654486be9cf56957361fa21e7b5,68,130
TBCA,1102bd1bf8173d5316872943f4a19536fc6387c996b702272c5725c961b8a8f6,72,133
NSMCE2,11d51cb19e69d23e6a35c255e3236ca36c431852d9c8ab0de366019df204e64c,56,79
MAD2L2,12140f7bf380ef9e3dc2bf8b6e2fb1ab04ac807f4d734459fdf3bc942a63b398,88,150
SMG5,123849b4756434acbd8b1ff628d331c8d1118727127d73070bf786bede2a8e88,165,215
ZNF207,12964d127b05a0149cbecf89b5bc7e41dd6e055f399889b803da3862e0528fdb,86,83
MIS18BP1,137096cf349d6ce199d2b6677e08b4eb9b96842a7c2aa22991b457f54f1c63e6,81,350
NCL,13e5bfbe5d8fc6561f8ad43128990635332086a77de677d667713fcf71d070a0,87,189
MYC,13fe0efd374b069201e16bddbd199cacfae17a62d13ea6929baeaa2716f8ac97,52,120
BOP1,14c1473e0372778b928b6a024ede868a318b5a0fb14a3141e769c1f006ee45fa,126,328
VPS54,1612ff16a8eac9708715a7700361d9c2a683e657cd6e126f47d5bc536bd24145,101,269
HAUS8,16cd311417f0886c6a30870d8803969381b0ca43d8fa6c1cd9f0deecbc4e18d8,53,92
GLB1,16f1be22de9d8d00d4fb73f0f4291c7e2fc2bea0b9ffd48c284d5bffd3652ed9,55,109
TOMM22,17ed107e5676adf4281bd68654f4ef4ce8ef2cda8428ebdefe562fe0ef94234c,75,96
EEFSEC,1826018b926f4fa0c66b61a28d1b641564e537b76c109e6b6bc659694cce1672,56,54
RPL36A,18a10f10fb42ea16283137d2ac0e8cf5e41ebe9034625c0ea1b1c1b2796e4c9f,68,244
HNRNPA1,1912ddb8b08f7f099613df16130082c70f037ae904f793934cc217fb11a650b9,54,108
GNL3,192e3f658612c4cc9d83a35343cd6e548f6edfea7816d1a8f80ca5ed489a16df,116,145
SASS6,19a27c4580c63c0c9f1e87d133f01246d7a476d26fe1799c1c7c477d6d46f728,63,88
SCAP,19d04c02fe614f6e14ea87dfdb3a4fc7f2a2284f95b2bfe6d3fb408155fc95a9,98,118
RPL24,1a800d5ae293c8316912908554e833a2d42337dc21a8bdf482691dfdece16b5b,60,52
DDX56,1ac914181f7639546df518c62822f5ad1a61d8111e302c9fe018a085b97dbe06,57,89
RPP30,1be7b91e32c45679dabc9ad8adc6ef03b991c7bf92112205cbdd922cacec1357,85,148
SF3B3,1c630c058ce77263a74968633ed926b11868374441b2c61e999b34680264843a,326,126
HMGCS1,1c70083e95ec01974e7aad305b374e24c9b20181afe6c46c0c71b9d0dfd08ebd,59,135
DSTYK,1d069f111766b74b898cf256a013978857df788c6074e0175dcc79690ab9ae8d,69,248
RBM33,1d7751d446205a5a30a4195bfc1760edffbda5645428a81a959d2074a5f9d1cf,50,149
RAN,1d7ab3322c9975a7c98b15dd8923eafdfff3716442efb3d6490a2f4e468d09e0,66,53
CLASRP,1dab04cb0710acfaec50856ef6b9b0296088c1e64680559f5ef5e0496d157314,152,274
TUBB2A,1ded778c2ede1f6773333b5937257391776073ceabf805aa762138dba9517bb0,91,194
PABPC1,1e128475b7ef6bbbe76652e8e509bcb3a270481759474308f13e771f3355e639,66,78
LIN54,1e6171f949c278d7e9e3d8120dfaf75f96e5b0663d3c99b64d9465bdbe722175,139,271
ZNHIT3,1f4467dbee6ea3ea95444bc66b0cf0f3b6dcb5edafb6a0c5e0056953f324fe33,137,372
CENPJ,1f45072865f1f5712b3f03d194bead68f4a254565212fd32421a27e0c8c567db,92,120
EIF4B,1f7049b6bea24c5c70add9faf876dd105ac6fc1a8db94d107505d2f77ad620a4,217,461
TMEM242,1fa5bf0d9046fa0492da3cfab7b31a611572dfe574f5acc5e56f9a85b55793fc,215,482
IARS2,1fbdb1a7822502b33c30f956ef5ae4d72f4406f3bb444eb7820a277b948599d5,59,88
GNL3L,200b1d7742658a574295f1c8f8086fc1f4436d9c47cd252db35dca65e23d070b,63,72
LAS1L,20484f0dfdcd80f3a24e6ca45d3956592173d6131c31299ab0a3c4d01ad71ace,78,160
ARCN1,206b61d0b14da1aba65f042fc2937a43a23704b3d2ca7d4e5c2061adbcc69de7,94,129
RPS9,21368f982d2936315178d593ba15383496bb5a1ec597adb8115cfe6d79814a8c,72,121
GPN1,2146e64f282485aba8433d4d74886c5b1584f2a5120ed094be11385076e8e250,60,54
LSM7,2176e1ec91b4631cf23a01a24d91b1cac935250f4e7a3ad68a4b143e058e1a39,68,91
IPO11,21822cfac94e8a6a030d056df71c4248da041f46e29e5b43d3e938fb84cee59e,59,103
MIOS,21b760a7a8511acd4567898b3c8b9eaac9d07527717389db36f19fb1fd52f9f3,62,131
PDCD11,2226c4396c0c3843db68e7de2689a31712884e045440c7a2ae049e2d54c9092b,133,167
MCM7,22c4ae6b45ec7ff594ca7a9de26041a1c0ea8b03c350f6a1f287701ef2e5a4df,63,137
AATF,2345ae62512d6d2025d9f12cb36ea4ab62bf66e591b854dfe07a330d52b7cb98,51,111
RPS19BP1,235070faf0c8c128dfb04ebc8bbb99086ca3fbf76d9054cd3d2b460fef716d1b,68,108
ESYT1,2496d8b731bea395c870cf57eab660aed223ccb7300d661756310f38823a9710,55,117
DDX55,24e83f7639a1ea6eea7b7cb3d8cb101c6fa99e64840f8c7374564d9ca1b2ff8d,136,400
TIMM13,24f6d775a216a4e80053c1cea60e5ff6ef37e4ff32c05d49229cd09ec6fde98c,70,51
WDR46,24ff264c104b5383123d427c3ee2c2468e58cd7e35f18b345ad5f45cea28ecae,92,109
