raw_gene,scgpt_token
ACTR6,ACTR6
ADSL,ADSL
ANAPC15,ANAPC15
ANKRD11,ANKRD11
ARL4D,ARL4D
ASF1B,ASF1B
ATP6AP2,ATP6AP2
ATR,ATR
BRIP1,BRIP1
CCNB1,CCNB1
CCNK,CCNK
CDK2,CDK2
CHMP6,CHMP6
CHORDC1,CHORDC1
CKAP5,CKAP5
COA5,COA5
COX6C,COX6C
CPNE7,CPNE7
CSTF1,CSTF1
CYCS,CYCS
DAP3,DAP3
DCAF6,DCAF6
DCTN2,DCTN2
DDX1,DDX1
DDX19B,DDX19B
DDX5,DDX5
DNAJA1,DNAJA1
DNAJC19,DNAJC19
DNM1,DNM1
DNMT1,DNMT1
DRAP1,DRAP1
DRG1,DRG1
DYNLRB1,DYNLRB1
EFTUD2,EFTUD2
EIF2B2,EIF2B2
EIF2B3,EIF2B3
ELOVL1,ELOVL1
EMC3,EMC3
ERAL1,ERAL1
FNBP4,FNBP4
GFM1,GFM1
GMPPB,GMPPB
GNPNAT1,GNPNAT1
GON4L,GON4L
GRPEL1,GRPEL1
GRSF1,GRSF1
GUK1,GUK1
HMGB1,HMGB1
HSP90B1,HSP90B1
HSPA8,HSPA8
ISCA2,ISCA2
KPNB1,KPNB1
LAMTOR4,LAMTOR4
LIN54,LIN54
MANF,MANF
METTL1,METTL1
MIOS,MIOS
MMGT1,MMGT1
MRPL10,MRPL10
MRPL20,MRPL20
MRPL39,MRPL39
MRPL54,MRPL54
MRPS21,MRPS21
MRPS7,MRPS7
MTG2,MTG2
NDUFA6,NDUFA6
NDUFS3,NDUFS3
NEDD1,NEDD1
NUDCD3,NUDCD3
NUP107,NUP107
NUP98,NUP98
PNISR,PNISR
POLR1C,POLR1C
PPA1,PPA1
PPP1CA,PPP1CA
PPP2R1A,PPP2R1A
PRELID3B,PRELID3B
PRKRIP1,PRKRIP1
PRPF3,PRPF3
PSMB5,PSMB5
PSTK,PSTK
PTMA,PTMA
PTPMT1,PTPMT1
PXN,PXN
QRSL1,QRSL1
RAC3,RAC3
RHOQ,RHOQ
RNASEH2C,RNASEH2C
RPA3,RPA3
RPL35A,RPL35A
RPL7,RPL7
RRM2,RRM2
RUVBL1,RUVBL1
SART3,SART3
SERBP1,SERBP1
SETDB1,SETDB1
SF3A2,SF3A2
SLC7A5,SLC7A5
SMAGP,SMAGP
SNW1,SNW1
SRSF11,SRSF11
SRSF7,SRSF7
SS18L2,SS18L2
SSBP3,SSBP3
TACC3,TACC3
THOC6,THOC6
TIMM13,TIMM13
TLCD1,TLCD1
TM7SF2,TM7SF2
TRA2B,TRA2B
TRNT1,TRNT1
TSEN34,TSEN34
TTC4,TTC4
TWF1,TWF1
UBA2,UBA2
UBE2M,UBE2M
UFL1,UFL1
UROD,UROD
USP39,USP39
USP5,USP5
USP9X,USP9X
VEZT,VEZT
VPS54,VPS54
WBP11,WBP11
WDR4,WDR4
WNK1,WNK1
YRDC,YRDC
