task_id,row_index,cell_type,sm_name,sm_lincs_id,SMILES,dose_uM,split,drug_support_rows,cell_type_support_rows,pair_support_rows,nearest_train_smiles_jaccard,predicted_l2,predicted_abs_mean,true_l2_diagnostic,de_adj_gene_count,rmse_all,mae_all,rmse_de_adj,risk_low_drug_support,risk_low_pair_support,risk_low_cell_type_support,risk_low_smiles_similarity,risk_predicted_magnitude,risk_oracle_true_magnitude_diagnostic,risk_safeconf_op_smoke
0,0,B cells,Clotrimazole,LSM-5341,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.0,private_test,4,17,0,1.0,40.89804458618164,0.23339489102363586,64.83180236816406,2,0.5272340178489685,0.39642009139060974,2.385044813156128,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5860390005171767,-0.3883657291461642,-0.6951479456351796
1,1,Myeloid cells,Clotrimazole,LSM-5341,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.0,private_test,4,17,0,1.0,40.89804458618164,0.23339489102363586,59.30843734741211,3,0.49926528334617615,0.3720971345901489,3.033107042312622,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5860390005171767,-0.48671799311401875,-0.6951479456351796
2,2,B cells,Mometasone Furoate,LSM-3349,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,1.0,private_test,4,17,0,1.0,102.14522552490234,0.5969124436378479,96.26959228515625,2457,0.717663586139679,0.5429300665855408,0.9226281046867371,-0.10910894511800284,-0.0,-0.0,-0.0,0.7772404668775604,0.17143392212892547,0.6681315217595576
3,3,Myeloid cells,Mometasone Furoate,LSM-3349,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,1.0,private_test,4,17,0,1.0,102.14522552490234,0.5969124436378479,122.95504760742188,5537,0.8478506803512573,0.618014395236969,1.088954210281372,-0.10910894511800284,-0.0,-0.0,-0.0,0.7772404668775604,0.6466107275902722,0.6681315217595576
4,4,B cells,Vandetanib,LSM-1199,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1.0,private_test,4,17,0,1.0,51.82282638549805,0.31611716747283936,63.70974349975586,10,0.6399391293525696,0.5113096833229065,1.8140205144882202,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3428681233517913,-0.40834576479445667,-0.45197706846979413
5,5,Myeloid cells,Vandetanib,LSM-1199,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1.0,private_test,4,17,0,1.0,51.82282638549805,0.31611716747283936,60.51589584350586,6,0.614634096622467,0.47649306058883667,1.611617922782898,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3428681233517913,-0.465217281809975,-0.45197706846979413
6,6,B cells,Bosutinib,LSM-1190,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1.0,private_test,4,17,0,1.0,69.69601440429688,0.41462403535842896,86.4918212890625,672,0.6030251979827881,0.45027750730514526,1.1724802255630493,-0.10910894511800284,-0.0,-0.0,-0.0,0.05496488495095801,-0.0026747797967935486,-0.05414406016704483
7,7,Myeloid cells,Bosutinib,LSM-1190,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1.0,private_test,4,17,0,1.0,69.69601440429688,0.41462403535842896,172.10165405273438,7274,1.0822571516036987,0.8486025929450989,1.5099650621414185,-0.10910894511800284,-0.0,-0.0,-0.0,0.05496488495095801,1.5217439103643444,-0.05414406016704483
8,8,B cells,Ceritinib,LSM-36374,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,1.0,private_test,4,17,0,1.0,39.76055145263672,0.21689313650131226,62.977325439453125,27,0.5344460606575012,0.4061380624771118,1.3149909973144531,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6113580602599562,-0.42138762860955387,-0.720467005377959
9,9,Myeloid cells,Ceritinib,LSM-36374,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,1.0,private_test,4,17,0,1.0,39.76055145263672,0.21689313650131226,62.80509567260742,106,0.5352748036384583,0.4031897485256195,1.3851717710494995,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6113580602599562,-0.4244544524439896,-0.720467005377959
