e174_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e174_selection_sha256,e174_column_unseen_sha256,target_stratum,e174_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_targets,selection_used_expression_effect_error_or_e173_outcome
1,R01,1,ENSG00000153391,INO80C,2,INO80C-1+INO80C-2,True,INO80C,True,True,INO80C,True,True,2c83af2625a6e141699ff6497f125f09130f0fb22b829e5a6717641011043818,31b17f685f51ba27d756e63ddd238456769dcd3eda7aa68a71072fe869f2ea65,0008de033baac7b0ebc3f09199618e2d89a759cee065ce5596382e23b8406fc2,dbf7b28411005e64d2c4ecd8ef23ea6fe76a7a98995181cc6523215e859905b2,DONOR_UNSEEN_ONLY,5f413e3e51e4ae6b7b5fe37688eaaa9384bae802e5c32ce0dbe3be36f0ffd23e,EVALUATION_80PCT,6,True,False
2,R01,2,ENSG00000197024,ZNF398,2,ZNF398-1+ZNF398-2,True,ZNF398,True,True,ZNF398,True,True,a20d066fdf39aefb6880021d72f27972ead56e7bdb9b30f8600b13d4ee505803,a4c2e7e0b7183989951079b23a7f1158462e46d4e0beebedd9965a5f5ea8cb43,000c237360cc35093dd8a28d9a401309158880ae89d87f919bf512f328e9da6c,3582543bd4978c60b27cc88897edaf5d1568ffe6ac12e6015f01e77906b83672,COLUMN_UNSEEN,0ce0b2be794ef869c20cf409d2f3490b5318b7d0484c79cb827d3b03454a33fd,CALIBRATION_20PCT,0,True,False
3,R01,3,ENSG00000181885,CLDN7,2,CLDN7-1+CLDN7-2,True,CLDN7,True,True,CLDN7,True,True,b9c7bf08f676b5863d95ca91577f03a069baf8782c0e857ffdefb968cb152269,8517a7d828aa596863428bd6da20cdbc432287d674dcc427f7e3f835bc421f36,0012a3df049de16ae13fea8860813094209abab01c2c08f37e3fb661d5a9b1a0,9a81b734cf40505e5d7d4110800d067c5ce0e5c3a2a7d1a544f79af05ae89c97,DONOR_UNSEEN_ONLY,706c405fe4877bd883bb0d22cfd21105dee84b70033c3e325725a0254af6d0ce,EVALUATION_80PCT,6,True,False
4,R01,4,ENSG00000150783,TEX12,2,TEX12-1+TEX12-2,True,TEX12,True,True,TEX12,True,True,b2d491fb766f464b0da81a103a57b2dd9306cccd3e08beb4eb9f4908253e75d5,259dbe4b80249e8a00dcf3b04f8edb0b3de41f7c3cfeea690501629ad7a19082,001c51e95e213ffea22244715a503b29a5c6bbb914e9b474929073938af8b30c,db1fc4aa1a32d51bbc4886798be22d2604fa5a5de09838927e51e3814eeb19ae,DONOR_UNSEEN_ONLY,cefd218c7fcc1878611c07e6fce0d2d9f5f007a2044c4e77cc0e8459894c8bbe,EVALUATION_80PCT,6,True,False
5,R01,5,ENSG00000115415,STAT1,2,STAT1-1+STAT1-2,True,STAT1,True,True,STAT1,True,True,d7186be172a8e5b0e0015ec8f282e1e40ef79b18ac6c0b0ee64d8939d2c3b688,727a724d7af361f643be65ea19e628ad4917513dacfb355832cf5d0a7476d3db,00297fd2383cfff5ab6d96129125a4e48bf92ae17f92d1e7d711424d41406894,7827ee7cbbf9ea86e463ad0764c15670b58201483158cd06445e5c438eb5968f,DONOR_UNSEEN_ONLY,156161eda7a325d7c0ca324c651f0b96e9cb8dbae6f8fcfdc8055f6d5cdcbcdb,CALIBRATION_20PCT,6,True,False
6,R01,6,ENSG00000092067,CEBPE,2,CEBPE-1+CEBPE-2,True,CEBPE,True,True,CEBPE,True,True,f48111dd087c956e1b57be3bcf26551eecf99ee51cea3018b4bda60558f9a3b3,33993d9c8ed9358c3cf87e2bd28deeaee86d7a23d9e299075d0b1749c3ae001f,002b1f4552fbe109d28380b08bc15234c476c2a8ea8770bd74af3b7d017751a9,d52ad3e1483177198db14918df4e9c69fded64bb538cbccfbae6dc55d4daf35b,DONOR_UNSEEN_ONLY,f0e05be78c36cfb93a020be8bb747f1b14f7adf24d1c9607a0cd2bf5ca791d93,EVALUATION_80PCT,6,True,False
7,R01,7,ENSG00000170374,SP7,2,SP7-1+SP7-2,True,SP7,True,True,SP7,True,True,1324ef411adf0df1d8a6be0cbbf8e4925444ddcfe946d74687603bb94dc42dbb,ef8e58ece71cf855ac0406c8cb314d4c5af5dcd307aa51a92b51e5b68ff113cd,00558655b2757b0121ec68c7f0b931a583f1d63b59f2a254e7d561fa94522785,e9452afa613f7d27885753fef7cd9c220ab942e2f747768b18a10c32346febe3,DONOR_UNSEEN_ONLY,3f8fda4c922bbf35c061cf2629513eb19be477712b4be341a648c1f5961222eb,EVALUATION_80PCT,6,True,False
8,R01,8,ENSG00000160991,ORAI2,2,ORAI2-1+ORAI2-2,True,ORAI2,True,True,ORAI2,True,True,37f46cc1a6873d8bda284c3620f857d7834c358b07db10c640304b0b4e68faf3,518c776c7c4b30f7420f8e23b5e08b202e73ac8f45c0c3ad566321ee204e426b,006392d1e4a89dc379cb0f992f230b2bc9171e7df919c51be30da567ac19f803,7a9037ef9e29ea7a8a25fdace60efd5eed6b4407bbe4693d7b432acad3b63c7b,DONOR_UNSEEN_ONLY,e81eac3a934187453c1214aa2fd1f3e7061fcb1c891366c11677a3070e7a9a45,EVALUATION_80PCT,6,True,False
9,R01,9,ENSG00000130303,BST2,2,BST2-1+BST2-2,True,BST2,True,True,BST2,True,True,a5d9ccaa84e2cc7b7d79f601f2875e92b2491b4ee284ec446f06db5a5268d6f6,61d82a7d5933a89da0dda453ccbce1ad39ef43f3b1ea793a38436b2574a3d4dc,00a5dfe86b1c54de640ed44697195878f1190f15888552792f89f2c91bcb30c0,7b7ddb778dbd779a26bad2038e7cfecf247a450c5da4ed5abe495b634a16f3eb,DONOR_UNSEEN_ONLY,16221af73847f3d4068bc659ce88a686934e3dc3e1a96d7b74a993e0358b93b5,CALIBRATION_20PCT,6,True,False
10,R01,10,ENSG00000124762,CDKN1A,2,CDKN1A-1+CDKN1A-2,True,CDKN1A,True,True,CDKN1A,True,True,a620b1a2419228b6d361219d4e4e70dc074a26d7c05265fa53baa781455c1e6c,8000750b63da4ff27ebca204fd410a6283a87b62135b0dad3ab5cb151106332c,00ae5d6477aa47b31747dfd6049101f18c483f004364ea2abe2a83564f01521e,0e398ae495fa0dccae91c7c886be70d77a9f16d0b7f22147a263d8c4feeade19,COLUMN_UNSEEN,9223815d64df06269f37e52857caaa1cfa89be711c7947875a56b0d62f519067,EVALUATION_80PCT,0,True,False
11,R01,11,ENSG00000109101,FOXN1,2,FOXN1-1+FOXN1-2,True,FOXN1,True,True,FOXN1,True,True,3b3734b13b02035a538233f5bd97e7d0ce7cd7c9ab210830f873a337bd7ce314,de7ad97719f98d925dbf1a7b5672966f5c9d07475fce96cffcdbd43794a94a94,00c34cce7182e87869113857b276496054671a964974dc85e4053a958594035f,4ef1c46f1b9d408df20c1be3616decb70445828d107f6ec6e324f57fcb52866a,DONOR_UNSEEN_ONLY,04d908f05bce48d491c315325438d358272ebdcbc729763817f505d59b320b46,CALIBRATION_20PCT,6,True,False
12,R01,12,ENSG00000169884,WNT10B,2,WNT10B-1+WNT10B-2,True,WNT10B,True,True,WNT10B,True,True,2f48384c00bb74827fae4cbf3684d3a8fe0dd47719e7bc87843bb4a8dfd8d5fc,dc8f4a580b10586c9e261c6861669477235aedf2ebed85d811e6912c796f9a40,00cb118fd9fca13f7b15716894a1d4bf94ef5bae2ef3ecd9be539139437e6454,f7110094edd8a1c61b508f94adf205f755e98c799d8f072048ba609f775c28a8,DONOR_UNSEEN_ONLY,1329a80b7ce6a6b2bdcc06c8cb6fed5d80803a667ab7bf44a7de0840ebe1d67f,CALIBRATION_20PCT,6,True,False
