fold_id,task_id,setting,context,perturbation,context_novelty_scaled,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,directional_risk_frozen,target_direction_truth_used_for_score_or_transform,direction_model_refit_on_replogle,frozen_model_sha256
Replogle_cellline_holdout_1_K562,K562::ADSL,context_unseen,K562,ADSL,1.0,1.0,-5.0,4.398799507768071,0.4474492595881139,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DNM1,context_unseen,K562,DNM1,1.0,0.5,-5.0,5.0,0.39569123792692373,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SNW1,context_and_perturbation_unseen,K562,SNW1,1.0,1.0,-4.792008314263398,5.0,0.46480802789767806,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SART3,context_unseen,K562,SART3,1.0,1.0,-4.959209048675524,4.060261121266722,0.4401438511119433,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PPP1CA,context_and_perturbation_unseen,K562,PPP1CA,1.0,1.0,-5.0,5.0,0.46155551092872904,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::RPL35A,context_unseen,K562,RPL35A,1.0,1.0,-3.2442015924293424,5.0,0.4890122051444258,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::VEZT,context_unseen,K562,VEZT,1.0,1.0,-5.0,2.058607282804507,0.3925402231897296,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DRG1,context_and_perturbation_unseen,K562,DRG1,1.0,1.0,-3.666794992951152,5.0,0.48240380538414074,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SF3A2,context_unseen,K562,SF3A2,1.0,0.5,-5.0,4.3971147715344445,0.38154545682367325,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ERAL1,context_unseen,K562,ERAL1,1.0,1.0,-5.0,4.391966966376144,0.4472889444396484,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PSTK,context_unseen,K562,PSTK,1.0,1.0,-4.562771971397508,5.0,0.468392762991442,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DDX5,context_unseen,K562,DDX5,1.0,1.0,-5.0,5.0,0.46155551092872904,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
