context,perturbation,n_cells,dataset
endothelial,ASCL3,119,Parekh
endothelial,CDX2,197,Parekh
endothelial,FOXP1,99,Parekh
endothelial,HAND2,95,Parekh
endothelial,HOXA10,100,Parekh
endothelial,KLF4,267,Parekh
endothelial,LMX1A,130,Parekh
endothelial,MYOG,90,Parekh
endothelial,SNAI2,134,Parekh
endothelial,SPI1,119,Parekh
endothelial,control,589,Parekh
hPSC,ASCL3,136,Parekh
hPSC,CDX2,53,Parekh
hPSC,FOXP1,112,Parekh
hPSC,HAND2,97,Parekh
hPSC,HOXA10,103,Parekh
hPSC,KLF4,75,Parekh
hPSC,LMX1A,125,Parekh
hPSC,MYOG,100,Parekh
hPSC,SNAI2,132,Parekh
hPSC,SPI1,72,Parekh
hPSC,control,457,Parekh
multilineage,ASCL3,67,Parekh
multilineage,CDX2,69,Parekh
multilineage,FOXP1,64,Parekh
multilineage,HAND2,52,Parekh
multilineage,HOXA10,42,Parekh
multilineage,KLF4,101,Parekh
multilineage,LMX1A,57,Parekh
multilineage,MYOG,56,Parekh
multilineage,SNAI2,36,Parekh
multilineage,SPI1,51,Parekh
multilineage,control,350,Parekh
rep1,ATF2,481,Papalexi
rep1,BRD4,122,Papalexi
rep1,CAV1,357,Papalexi
rep1,CD86,560,Papalexi
rep1,CMTM6,345,Papalexi
rep1,CUL3,136,Papalexi
rep1,ETV7,367,Papalexi
rep1,IFNGR1,680,Papalexi
rep1,IFNGR2,522,Papalexi
rep1,IRF1,610,Papalexi
rep1,IRF7,317,Papalexi
rep1,JAK2,417,Papalexi
rep1,MARCH8,477,Papalexi
rep1,MYC,34,Papalexi
rep1,NFKBIA,403,Papalexi
rep1,PDCD1LG2,185,Papalexi
rep1,POU2F2,352,Papalexi
rep1,SMAD4,369,Papalexi
rep1,SPI1,27,Papalexi
rep1,STAT1,248,Papalexi
rep1,STAT2,300,Papalexi
rep1,STAT3,218,Papalexi
rep1,STAT5A,288,Papalexi
rep1,TNFRSF14,414,Papalexi
rep1,UBE2L6,234,Papalexi
rep1,control,818,Papalexi
rep2,ATF2,286,Papalexi
rep2,BRD4,83,Papalexi
rep2,CAV1,239,Papalexi
rep2,CD86,309,Papalexi
rep2,CMTM6,214,Papalexi
rep2,CUL3,69,Papalexi
rep2,ETV7,204,Papalexi
rep2,IFNGR1,331,Papalexi
rep2,IFNGR2,306,Papalexi
rep2,IRF1,267,Papalexi
rep2,IRF7,121,Papalexi
rep2,JAK2,329,Papalexi
rep2,MARCH8,224,Papalexi
rep2,MYC,35,Papalexi
rep2,NFKBIA,194,Papalexi
rep2,PDCD1LG2,175,Papalexi
rep2,POU2F2,152,Papalexi
rep2,SMAD4,159,Papalexi
rep2,SPI1,14,Papalexi
rep2,STAT1,88,Papalexi
rep2,STAT2,183,Papalexi
rep2,STAT3,110,Papalexi
rep2,STAT5A,173,Papalexi
rep2,TNFRSF14,257,Papalexi
rep2,UBE2L6,112,Papalexi
rep2,control,563,Papalexi
rep3,ATF2,335,Papalexi
rep3,BRD4,136,Papalexi
rep3,CAV1,286,Papalexi
rep3,CD86,328,Papalexi
rep3,CMTM6,258,Papalexi
rep3,CUL3,69,Papalexi
rep3,ETV7,270,Papalexi
rep3,IFNGR1,330,Papalexi
rep3,IFNGR2,385,Papalexi
rep3,IRF1,196,Papalexi
rep3,IRF7,176,Papalexi
rep3,JAK2,278,Papalexi
rep3,MARCH8,302,Papalexi
rep3,MYC,40,Papalexi
rep3,NFKBIA,190,Papalexi
rep3,PDCD1LG2,257,Papalexi
rep3,POU2F2,158,Papalexi
rep3,SMAD4,131,Papalexi
rep3,SPI1,7,Papalexi
rep3,STAT1,108,Papalexi
rep3,STAT2,178,Papalexi
rep3,STAT3,165,Papalexi
rep3,STAT5A,198,Papalexi
rep3,TNFRSF14,293,Papalexi
rep3,UBE2L6,172,Papalexi
rep3,control,619,Papalexi
Adamson,AMIGO3,750,Adamson
Adamson,ARHGAP22,513,Adamson
Adamson,ASCC3,1824,Adamson
Adamson,ATF4,382,Adamson
Adamson,CAD,295,Adamson
Adamson,CCND3,412,Adamson
Adamson,CHERP,497,Adamson
Adamson,COPB1,235,Adamson
Adamson,COPZ1,291,Adamson
Adamson,DAD1,774,Adamson
Adamson,DDOST,398,Adamson
Adamson,DDRGK1,633,Adamson
Adamson,DERL2,676,Adamson
Adamson,DHDDS,526,Adamson
Adamson,DNAJC19,1588,Adamson
Adamson,EIF2AK3,173,Adamson
Adamson,EIF2B2,638,Adamson
Adamson,EIF2B3,427,Adamson
Adamson,EIF2B4,654,Adamson
Adamson,EIF2S1,534,Adamson
Adamson,ERN1,88,Adamson
Adamson,FARSB,655,Adamson
Adamson,FECH,702,Adamson
Adamson,GBF1,1012,Adamson
Adamson,GMPPB,634,Adamson
Adamson,GNPNAT1,514,Adamson
Adamson,HSD17B12,421,Adamson
Adamson,HSPA5,1242,Adamson
Adamson,HSPA9,926,Adamson
Adamson,HYOU1,514,Adamson
Adamson,IARS2,1142,Adamson
Adamson,IDH3A,690,Adamson
Adamson,KCTD16,480,Adamson
Adamson,MANF,578,Adamson
Adamson,MRGBP,586,Adamson
Adamson,MRPL39,712,Adamson
Adamson,MTHFD1,540,Adamson
Adamson,NEDD8,518,Adamson
Adamson,OST4,669,Adamson
Adamson,P4HB,578,Adamson
Adamson,PDIA6,618,Adamson
Adamson,PPWD1,241,Adamson
Adamson,PSMA1,30,Adamson
Adamson,PSMD12,63,Adamson
Adamson,PSMD4,639,Adamson
Adamson,PTDSS1,557,Adamson
