dataset,context_identity,fold_id,heldout_context,context,perturbation,split,setting,n_cells,selected_without_expression
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,CHERP,test,perturbation_unseen,497,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DDOST,test,perturbation_unseen,398,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DDRGK1,test,perturbation_unseen,633,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,EIF2B3,test,perturbation_unseen,427,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,EIF2S1,test,perturbation_unseen,534,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,FECH,test,perturbation_unseen,702,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,GMPPB,test,perturbation_unseen,634,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,HSPA9,test,perturbation_unseen,926,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,IARS2,test,perturbation_unseen,1142,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,OST4,test,perturbation_unseen,669,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,P4HB,test,perturbation_unseen,578,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PSMD12,test,perturbation_unseen,63,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SEC61A1,test,perturbation_unseen,1228,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,STT3A,test,perturbation_unseen,523,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TMED10,test,perturbation_unseen,649,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,UFL1,test,perturbation_unseen,611,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,AMIGO3,train,source_train,750,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,ASCC3,train,source_train,1824,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,ATF4,train,source_train,382,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,CAD,train,source_train,295,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,CCND3,train,source_train,412,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,COPB1,train,source_train,235,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,COPZ1,train,source_train,291,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DAD1,train,source_train,774,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DERL2,train,source_train,676,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DNAJC19,train,source_train,1588,True
