study_family,dataset_family,perturbation_type_manifest,local_path,read_status,n_cells,n_genes,perturbation_column,context_column,n_context_labels,n_raw_perturbation_labels,n_single_gene_like_labels,n_e201_gene_overlap,integration_status,expression_values_read
Adamson,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Adamson.h5ad,PASS,56998,5043,perturbation,,1,77,76,18,EXPLICIT_PERTURBATION_COLUMN,False
AdamsonWeissman2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406675_10X001.h5ad,PASS,5768,35635,perturbation,celltype,1,10,1,0,EXPLICIT_PERTURBATION_COLUMN,False
AdamsonWeissman2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406677_10X005.h5ad,PASS,15006,32738,perturbation,celltype,1,21,1,0,EXPLICIT_PERTURBATION_COLUMN,False
AdamsonWeissman2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406681_10X010.h5ad,PASS,65337,32738,perturbation,celltype,1,115,1,0,EXPLICIT_PERTURBATION_COLUMN,False
Afriat,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Afriat.h5ad,PASS,19053,5000,perturbation,,1,3,2,0,EXPLICIT_PERTURBATION_COLUMN,False
AissaBenevolenskaya2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AissaBenevolenskaya2021.h5ad,PASS,119071,17820,perturbation,celltype,1,4,2,0,EXPLICIT_PERTURBATION_COLUMN,False
ChangYe2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ChangYe2021.h5ad,PASS,42277,45066,perturbation,,1,4,3,0,EXPLICIT_PERTURBATION_COLUMN,False
CuiHacohen2023,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/CuiHacohen2023.h5ad,PASS,96034,31053,perturbation,celltype,15,87,85,0,EXPLICIT_PERTURBATION_COLUMN,False
DatlingerBock2017,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2017.h5ad,PASS,5905,36722,perturbation,celltype,1,97,0,0,EXPLICIT_PERTURBATION_COLUMN,False
DatlingerBock2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2021.h5ad,PASS,39194,25904,perturbation,celltype,1,41,0,0,EXPLICIT_PERTURBATION_COLUMN,False
DixitRegev2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,PASS,19268,21713,perturbation,celltype,1,28,27,0,EXPLICIT_PERTURBATION_COLUMN,False
DixitRegev2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,PASS,33013,23111,perturbation,celltype,1,28,27,0,EXPLICIT_PERTURBATION_COLUMN,False
