method_group,method,primary_output,predictor_scope,retraining_or_internal_access,accepts_arbitrary_frozen_prediction_vectors,truth_free_deterministic_family_lower_bound,distribution_free_finite_sample_upper_coverage,grouped_unit_handling,overlap_with_safeconf,why_not_equivalent,primary_source
integrated_single_cell_uq,GEARS uncertainty,gene-wise learned log-variance/error proxy,GEARS only,required,no,no,no,not the main object,uncertainty signal,learned variance head is predictor-specific and has no task-RMSE coverage guarantee,https://doi.org/10.1038/s41587-023-01905-6
integrated_single_cell_uq,PRESCRIBE,epistemic and aleatoric confidence plus predicted response,PRESCRIBE only,required,no,no,no,task or perturbation confidence evaluation,confidence/routing,"requires an evidential predictor; reports confidence-performance calibration rather than conformal task-error coverage",https://papers.nips.cc/paper_files/paper/2025/file/d6383e7643415842b48a5077a1b09c98-Paper-Conference.pdf
integrated_single_cell_uq,GPerturb,model-based posterior uncertainty for gene perturbation effects,GPerturb only,required,no,no,no,gene and perturbation effects,uncertainty,"Gaussian-process posterior is tied to its predictor and is not an external registered-family certificate",https://doi.org/10.1038/s41467-025-61165-7
integrated_single_cell_uq,CPA distance uncertainty,distance from a test combination to training perturbation and covariate embeddings,CPA only,requires CPA representation,no,no,no,task or combination confidence evaluation,confidence/routing,"distance is tied to the learned CPA embedding and does not certify arbitrary frozen model-family error",https://pmc.ncbi.nlm.nih.gov/articles/PMC10258562/
ensemble_theory,Deep ensemble or raw disagreement,prediction dispersion or variance,chosen ensemble,multiple fits usually required,yes,"yes for family RMS under squared Hilbert loss via classical ambiguity decomposition",no,none by itself,geometric lower bound,"dispersion alone does not provide an upper coverage event or identify which member is wrong",https://proceedings.neurips.cc/paper/1994/hash/b8c37e33defde51cf91e1e03e51657da-Abstract.html
generic_conformal,Split conformal,marginal prediction set or scalar error bound,any fixed black-box predictor,no model internals required,yes,no,"yes under exchangeability and the registered calibration unit",unit must be defined by the user,calibrated upper bound,"does not supply a truth-free family-error lower bound or family-transfer rule",https://doi.org/10.1080/01621459.2017.1307116
adaptive_conformal,Conformalized quantile regression,input-adaptive conformal interval,quantile regression predictor,quantile model fitting required,not from vectors alone,no,yes,unit must be defined by the user,adaptive upper bound,"requires learned conditional quantiles and does not supply family geometry",https://papers.nips.cc/paper/2019/hash/5103c3584b063c431bd1268e9b5e76fb-Abstract.html
hierarchical_conformal,Two-layer hierarchical conformal,coverage-aware sets for grouped observations,arbitrary fitted score with hierarchical protocol,calibration protocol required,yes,no,yes under its hierarchical assumptions,explicitly addresses within-group dependence,target or guide clustering,"solves dependence-aware calibration rather than frozen-family lower bounds",https://arxiv.org/abs/1809.07441
selective_conformal,Selective conformal inference under interventions,coverage or risk control after selecting intervention tasks,registered intervention score and selection protocol,calibration protocol required,not from vectors alone,no,yes under the paper-specific assumptions,intervention-aware units,selection and abstention,"blocks a conformal-first claim but does not provide a deterministic frozen-family lower bound",https://arxiv.org/abs/2603.02204
online_selective_conformal,CAP,selection-conditional conformal intervals with false coverage-statement-rate control,online selected units,adaptive calibration protocol required,yes,no,yes under CAP conditions,selected online units,selection-aware calibration,"addresses post-selection coverage rather than single-cell predictor-family geometry",https://jmlr.org/beta/papers/v26/24-0452.html
registered_family_audit,SafeConf registered-family certificate,"family RMS and worst-member deterministic lower bounds plus transferred centroid upper bounds",registered heterogeneous predictor family,no retraining; frozen vectors and calibration contract required,yes,yes,"upper bound inherits the reference conformal event",guides aggregated inside target clusters,full object,"scope is limited to the registered outcome space family and exchangeable calibration/evaluation targets",docs/实验结果/E181_registered_family_hilbert_certificate_20260724/reports/E181_REPORT.md
