perturbation,n_cells,exact_gene_symbol_in_var_names,looks_like_gene_symbol
A2M,701,True,True
ACSL3,317,True,True
ACTA2,754,True,True
AEBP1,716,True,True
AGA,621,True,True
AHNAK,578,True,True
APOD,592,True,True
APOE,627,True,True
ARMC6,521,True,True
ATP1B1,644,True,True
B2M,707,True,True
BOLA2,371,True,True
BOLA2B,360,True,True
BZW2,566,True,True
C19orf48,664,True,False
C1QBP,381,True,True
C6orf226,545,True,False
CCND1,384,True,True
CCND2,563,True,True
CCR10,555,True,True
CCT3,110,True,True
CD151,579,True,True
CD274,663,True,True
CD44,732,True,True
CD47,602,True,True
CD58,636,True,True
CD59,715,True,True
CD63,512,True,True
CDC123,193,True,True
CDH19,714,True,True
CDK4,505,True,True
CDK6,246,True,True
CDKN1A,668,True,True
CDKN2A,540,True,True
CDKN2B,598,True,True
CHCHD2,642,True,True
CITED1,662,True,True
CKS1B,581,True,True
CMSS1,606,True,True
CORO1A,550,True,True
CSPG4,738,True,True
CST3,447,True,True
CTPS1,251,True,True
CTSA,600,True,True
CTSB,655,True,True
CTSD,775,True,True
CTSL,581,True,True
CTSO,661,True,True
CXCR4,552,True,True
CYP27A1,628,True,True
DAG1,522,True,True
DDR1,575,True,True
DDX17,451,True,True
DDX39A,411,True,True
DLL3,581,True,True
DNMT1,206,True,True
E2F1,406,True,True
EEA1,498,True,True
EEF1G,105,True,True
EIF3K,470,True,True
EIF4A1,83,True,True
EMP1,593,True,True
ENPP1,598,True,True
EVA1A,519,True,True
FBL,216,True,True
FBXO32,663,True,True
FGFR1,779,True,True
FKBP4,447,True,True
FMN1,735,True,True
FOS,507,True,True
FOXM1,178,True,True
FRZB,487,True,True
FSTL3,708,True,True
FTH1,78,True,True
GAA,617,True,True
GPATCH4,446,True,True
GPI,103,True,True
GPNMB,550,True,True
GRN,554,True,True
GSN,691,True,True
HLA-A,720,True,True
HLA-B,415,True,True
HLA-C,443,True,True
HLA-DRB5,704,True,True
HLA-E,518,True,True
HLA-F,639,True,True
HNRNPA1,458,True,True
HNRNPC,172,True,True
HSPA1A,514,True,True
IDH2,700,True,True
IFNGR1,671,True,True
IFNGR2,921,True,True
ILF2,120,True,True
IRF3,590,True,True
IRF4,507,True,True
ISYNA1,420,True,True
ITGA3,599,True,True
JAK1,796,True,True
JAK2,834,True,True
JMJD7,708,True,True
KCNN4,640,True,True
KDR,653,True,True
KLF4,546,True,True
LAMP2,650,True,True
LCP1,695,True,True
LGALS3,493,True,True
LGALS3BP,511,True,True
LRPAP1,656,True,True
LY96,625,True,True
MC1R,567,True,True
MDH2,466,True,True
MFGE8,814,True,True
MIA,569,True,True
MRPL47,305,True,True
MT2A,427,True,True
MYC,155,True,True
NACA,70,True,True
NCL,127,True,True
NDUFA13,291,True,True
NGFR,487,True,True
NME1,534,True,True
NMRK1,599,True,True
NOLC1,232,True,True
NONO,499,True,True
NPC1,655,True,True
NPC2,600,True,True
NSG1,590,True,True
NT5E,751,True,True
P2RX4,270,True,True
PABPC1,193,True,True
PAICS,203,True,True
PET100,277,True,True
PFDN4,601,True,True
PFN1,280,True,True
PIK3IP1,501,True,True
POLD2,120,True,True
PPA1,99,True,True
PPIA,499,True,True
PROS1,474,True,True
PSAP,733,True,True
PTMA,572,True,True
PUF60,209,True,True
PYGB,497,True,True
RAB27A,591,True,True
RB1,710,True,True
RBP7,621,True,True
RNASEH2A,268,True,True
RNF213,536,True,True
ROMO1,134,True,True
RPSA,317,True,True
RRS1,146,True,True
RTP4,729,True,True
RUVBL2,57,True,True
S100A6,592,True,True
S100B,603,True,True
SAE1,90,True,True
SAT1,576,True,True
SCARB2,578,True,True
SDC3,700,True,True
SDCBP,622,True,True
SEC11C,595,True,True
SERPINA3,501,True,True
SERPINE2,510,True,True
SERPINF1,593,True,True
SET,455,True,True
SGK1,573,True,True
SHMT2,448,True,True
SLC19A1,472,True,True
SLC22A18,785,True,True
SLC25A13,639,True,True
SLC26A2,649,True,True
SLC5A3,697,True,True
SLIRP,406,True,True
SMAD3,704,True,True
SMAD4,616,True,True
SNRPG,75,True,True
SOX4,665,True,True
SP100,604,True,True
SPESP1,634,True,True
SPINT1,616,True,True
SSR2,450,True,True
ST6GALNAC2,449,True,True
STAT1,724,True,True
STAT3,531,True,True
STOM,655,True,True
STX7,606,True,True
TAPBP,529,True,True
TAPBPL,628,True,True
TFAP2A,611,True,True
TGFB1,711,True,True
TIMM50,338,True,True
TIMP1,635,True,True
TIMP2,464,True,True
TIMP3,537,True,True
TM4SF1,633,True,True
TMED10,171,True,True
TOP1MT,556,True,True
TP53,580,True,True
TPP1,586,True,True
TPRKB,173,True,True
TRIM22,483,True,True
TSC22D3,716,True,True
TTLL1,704,True,True
TXNDC17,523,True,True
UBC,250,True,True
UCN2,484,True,True
UQCRFS1,315,True,True
UQCRH,220,True,True
VAT1,455,True,True
VDAC2,633,True,True
WBP2,661,True,True
