split,condition
train,ctrl
train,CD151+ctrl
train,CD274+ctrl
train,CD44+ctrl
train,CD47+ctrl
train,CD58+ctrl
train,CD59+ctrl
train,CD63+ctrl
train,CDC123+ctrl
train,CDH19+ctrl
train,CDK4+ctrl
train,CDK6+ctrl
train,CDKN1A+ctrl
train,CDKN2A+ctrl
train,CDKN2B+ctrl
train,CHCHD2+ctrl
train,CITED1+ctrl
train,CKS1B+ctrl
train,CMSS1+ctrl
train,CORO1A+ctrl
train,CSPG4+ctrl
train,CST3+ctrl
train,CTPS1+ctrl
train,CTSB+ctrl
train,CTSD+ctrl
train,CTSL+ctrl
train,CTSO+ctrl
train,CXCR4+ctrl
train,CYP27A1+ctrl
train,DDR1+ctrl
train,DDX17+ctrl
train,DDX39A+ctrl
train,DLL3+ctrl
train,DNMT1+ctrl
train,E2F1+ctrl
train,EEA1+ctrl
train,EEF1G+ctrl
train,EIF3K+ctrl
train,EIF4A1+ctrl
train,EMP1+ctrl
train,ENPP1+ctrl
train,FBL+ctrl
train,FBXO32+ctrl
train,FGFR1+ctrl
train,FKBP4+ctrl
train,FMN1+ctrl
train,FOS+ctrl
train,FOXM1+ctrl
train,FRZB+ctrl
train,FSTL3+ctrl
train,FTH1+ctrl
train,GAA+ctrl
train,GPATCH4+ctrl
train,GPI+ctrl
train,GPNMB+ctrl
train,GRN+ctrl
train,GSN+ctrl
train,HLA-A+ctrl
train,HLA-B+ctrl
train,HLA-C+ctrl
train,HLA-F+ctrl
train,HNRNPA1+ctrl
train,HNRNPC+ctrl
train,HSPA1A+ctrl
train,IFNGR1+ctrl
train,IFNGR2+ctrl
train,ILF2+ctrl
train,IRF3+ctrl
train,IRF4+ctrl
train,ISYNA1+ctrl
train,ITGA3+ctrl
train,JAK1+ctrl
train,JAK2+ctrl
train,JMJD7+ctrl
train,KCNN4+ctrl
train,KDR+ctrl
train,KLF4+ctrl
train,LCP1+ctrl
train,LGALS3BP+ctrl
train,LRPAP1+ctrl
train,LY96+ctrl
train,MC1R+ctrl
train,MDH2+ctrl
train,MFGE8+ctrl
train,MIA+ctrl
train,MRPL47+ctrl
train,MT2A+ctrl
train,MYC+ctrl
train,NACA+ctrl
train,NCL+ctrl
train,NME1+ctrl
train,NOLC1+ctrl
train,NONO+ctrl
train,NPC1+ctrl
train,NPC2+ctrl
train,NSG1+ctrl
train,NT5E+ctrl
train,P2RX4+ctrl
train,PABPC1+ctrl
train,PAICS+ctrl
train,PET100+ctrl
train,PIK3IP1+ctrl
train,POLD2+ctrl
train,PPA1+ctrl
train,PPIA+ctrl
train,PROS1+ctrl
train,PSAP+ctrl
train,PTMA+ctrl
train,PUF60+ctrl
train,PYGB+ctrl
train,RAB27A+ctrl
train,RB1+ctrl
train,RBP7+ctrl
train,RNF213+ctrl
train,ROMO1+ctrl
train,RPSA+ctrl
train,RRS1+ctrl
train,RTP4+ctrl
train,RUVBL2+ctrl
train,S100A6+ctrl
train,S100B+ctrl
train,SAE1+ctrl
train,SAT1+ctrl
train,SCARB2+ctrl
train,SDC3+ctrl
train,SDCBP+ctrl
train,SERPINA3+ctrl
train,SERPINE2+ctrl
train,SERPINF1+ctrl
train,SET+ctrl
train,SHMT2+ctrl
train,SLC19A1+ctrl
train,SLC22A18+ctrl
train,SLC25A13+ctrl
train,SLC26A2+ctrl
train,SLC5A3+ctrl
train,SLIRP+ctrl
train,SMAD4+ctrl
train,SNRPG+ctrl
train,SOX4+ctrl
train,SP100+ctrl
train,SPESP1+ctrl
train,SPINT1+ctrl
train,SSR2+ctrl
train,ST6GALNAC2+ctrl
train,STAT1+ctrl
train,STAT3+ctrl
train,STOM+ctrl
train,STX7+ctrl
train,TAPBP+ctrl
train,TAPBPL+ctrl
train,TFAP2A+ctrl
train,TGFB1+ctrl
train,TIMM50+ctrl
train,TIMP1+ctrl
train,TIMP2+ctrl
train,TIMP3+ctrl
train,TMED10+ctrl
train,TOP1MT+ctrl
train,TP53+ctrl
train,TPP1+ctrl
train,TPRKB+ctrl
train,TSC22D3+ctrl
train,TTLL1+ctrl
train,UBC+ctrl
train,UQCRFS1+ctrl
train,UQCRH+ctrl
train,VAT1+ctrl
train,VDAC2+ctrl
train,WBP2+ctrl
val,A2M+ctrl
val,ACTA2+ctrl
val,AEBP1+ctrl
val,AHNAK+ctrl
val,APOD+ctrl
val,APOE+ctrl
val,ARMC6+ctrl
val,ATP1B1+ctrl
val,B2M+ctrl
val,BOLA2+ctrl
val,BOLA2B+ctrl
val,BZW2+ctrl
val,C19orf48+ctrl
val,C1QBP+ctrl
val,C6orf226+ctrl
val,CCND1+ctrl
val,CCR10+ctrl
val,CCT3+ctrl
test,ACSL3+ctrl
test,AGA+ctrl
test,CCND2+ctrl
test,CTSA+ctrl
test,DAG1+ctrl
test,EVA1A+ctrl
test,HLA-DRB5+ctrl
test,HLA-E+ctrl
test,IDH2+ctrl
test,LAMP2+ctrl
test,LGALS3+ctrl
test,NDUFA13+ctrl
test,NGFR+ctrl
test,NMRK1+ctrl
test,PFDN4+ctrl
test,PFN1+ctrl
test,RNASEH2A+ctrl
test,SEC11C+ctrl
test,SGK1+ctrl
test,SMAD3+ctrl
test,TM4SF1+ctrl
test,TRIM22+ctrl
test,TXNDC17+ctrl
test,UCN2+ctrl
