local_path,file_name,source_name,dataset_family,study_family,perturbation_type_manifest,modality_manifest,scan_status,scan_error,n_obs,n_vars,obs_columns,var_columns,obsm_keys,layers,perturbation_label_columns,has_perturbation_label,has_control_like,control_columns,has_batch,has_cell_type,has_donor,has_condition,modality,perturbation_type,suitable_perturbation_prediction,suitable_perturbation_generalization,suitable_combination_task,file_size_bytes
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Afriat.h5ad,Afriat.h5ad.gz,scPerturBench cellular context generalization,extra_official,Afriat,genetic_single,RNA,ok,,19053,5000,"barcode,mouse,marker,time,infected,experiment,coarse_time,MB,eta,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,mt_qc,SUMPBA,n_counts,n_genes,mus_rRNA,pba_rRNA,pba_rRNA_fraction,nCount_PBA,nFeature_PBA,nCount_MUS,nFeature_MUS,RNA_snn_res.0.2,seurat_clusters,MBinfected,cluster_names,ident,eta_normalized,nCounts_tot,normalized_PBA,coarse_time_orig,zone,status,status_control,time_int,split_random,perturbation,condition1,condition2,condition3,iid_test","org,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000","X_pca,X_umap","counts,logcounts,scaledata","n_genes_by_counts,n_genes,perturbation,condition1,condition2,condition3",True,False,,False,False,False,True,RNA,genetic_single,True,True,False,1789417771
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,Haber.h5ad.gz,scPerturBench cellular context generalization,extra_official,Haber,genetic_single,RNA,ok,,9842,5000,"barcode,condition,cell_label,perturbation,cell_type,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test","ENSEMBL,ENTREZID,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","condition,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"condition,perturbation,condition2",True,True,False,True,RNA,genetic_single,True,True,False,592930236
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,KaggleCrossCell.h5ad.gz,scPerturBench cellular context generalization,extra_official,KaggleCrossCell,genetic_single,RNA,ok,,23653,5000,"library_id,plate_name,well,row,col,cell_id,donor_id,cell_type,sm_lincs_id,sm_name,SMILES,dose_uM,timepoint_hr,control,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,iid_test,condition1,condition2,batch","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","dose_uM,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"perturbation,condition2",True,True,True,True,RNA,genetic_single,True,True,False,1196859708
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,KaggleCrossPatient.h5ad.gz,scPerturBench cellular context generalization,extra_official,KaggleCrossPatient,genetic_single,RNA,ok,,25583,5000,"library_id,plate_name,well,row,col,cell_id,donor_id,cell_type,sm_lincs_id,sm_name,SMILES,dose_uM,timepoint_hr,control,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","dose_uM,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"perturbation,condition2",True,True,True,True,RNA,genetic_single,True,True,False,1291914644
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/McFarland.h5ad,McFarland.h5ad.gz,scPerturBench cellular context generalization,extra_official,McFarland,genetic_single,RNA,ok,,8464,5000,"DepMap_ID,cancer,cell_det_rate,cell_line,cell_quality,channel,disease,dose_unit,dose_value,doublet_CL1,doublet_CL2,doublet_GMM_prob,doublet_dev_imp,doublet_z_margin,hash_assignment,hash_tag,num_SNPs,organism,percent.mito,perturbation,perturbation_type,sex,singlet_ID,singlet_dev,singlet_dev_z,singlet_margin,singlet_z_margin,time,tissue_type,tot_reads,nperts,ngenes,ncounts,percent_mito,percent_ribo,chembl-ID,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,condition3,iid_test","ensembl_id,ncounts,ncells,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","dose_unit,dose_value,perturbation,perturbation_type,nperts,ngenes,n_genes,n_genes_by_counts,condition1,condition2,condition3",True,True,"perturbation,condition2",False,False,False,True,RNA,genetic_single,True,True,False,272425784
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,Parekh.h5ad.gz,scPerturBench cellular context generalization,extra_official,Parekh,genetic_single,RNA,ok,,4346,5000,"gene,media,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,iid_test,cell_type","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","gene,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"gene,perturbation,condition2",False,True,False,True,RNA,genetic_single,True,True,False,261722230
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/TCDD.h5ad,TCDD.h5ad.gz,scPerturBench cellular context generalization,extra_official,TCDD,chemical_single,RNA,ok,,103745,5000,"Dose,celltype,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,dose,iid_test","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","Dose,perturbation,n_genes,n_genes_by_counts,condition1,condition2,dose",True,True,"perturbation,condition2",False,True,False,True,RNA,chemical_single,True,True,False,2589969469
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossPatient.h5ad,crossPatient.h5ad.gz,scPerturBench cellular context generalization,extra_official,crossPatient,genetic_single,RNA,ok,,117363,5000,"GSM_ID,patient,patientBatch,treatment,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","treatment,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"treatment,perturbation,condition2",True,False,True,True,RNA,genetic_single,True,True,False,5097279103
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossSpecies.h5ad,crossSpecies.h5ad.gz,scPerturBench cellular context generalization,extra_official,crossSpecies,genetic_single,RNA,ok,,112903,5000,"species,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,condition3,iid_test","n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","perturbation,n_genes,n_genes_by_counts,condition1,condition2,condition3",True,True,"perturbation,condition2",False,False,False,True,RNA,genetic_single,True,True,False,3560313367
/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossCell.h5ad,kangCrossCell.h5ad.gz,scPerturBench cellular context generalization,extra_official,kangCrossCell,genetic_single,RNA,ok,,13576,5000,"orig.ident,nCount_RNA,nFeature_RNA,stim,seurat_annotations,integrated_snn_res.0.5,seurat_clusters,condition,cell_type,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,iid_test","ENSEMBL,ENTREZID,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,highly_variable_500,highly_variable_1000,highly_variable_2000,highly_variable_5000",,"counts,logNor","condition,perturbation,n_genes,n_genes_by_counts,condition1,condition2",True,True,"condition,perturbation,condition2",False,True,False,True,RNA,genetic_single,True,True,False,816975704
