panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,ARRDC3,fixed_test_perturbation_gene,3290.63720703125,True,False
1,ATL1,fixed_test_perturbation_gene,128.33265686035156,True,False
2,BPGM,fixed_test_perturbation_gene,12499.3974609375,True,False
3,CBFA2T3,fixed_test_perturbation_gene,21944.046875,True,False
4,CDKN1C,fixed_test_perturbation_gene,15348.3662109375,True,False
5,CEBPA,fixed_test_perturbation_gene,4768.306640625,True,False
6,CEBPB,fixed_test_perturbation_gene,14928.29296875,True,False
7,CELF2,fixed_test_perturbation_gene,59115.2734375,True,False
8,COL1A1,fixed_test_perturbation_gene,485.529296875,True,False
9,COL2A1,fixed_test_perturbation_gene,26431.310546875,True,False
10,CSRNP1,fixed_test_perturbation_gene,3047.962646484375,True,False
11,DLX2,fixed_test_perturbation_gene,601.7296752929688,True,False
12,HK2,fixed_test_perturbation_gene,7504.42138671875,True,False
13,HOXA13,fixed_test_perturbation_gene,13.08985710144043,True,False
14,NCL,fixed_test_perturbation_gene,165569.078125,True,False
15,RREB1,fixed_test_perturbation_gene,19263.423828125,True,False
16,SAMD1,fixed_test_perturbation_gene,24634.474609375,True,False
17,SGK1,fixed_test_perturbation_gene,5243.6025390625,True,False
18,SLC38A2,fixed_test_perturbation_gene,22236.203125,True,False
19,SLC4A1,fixed_test_perturbation_gene,826.0372314453125,True,False
20,SLC6A9,fixed_test_perturbation_gene,1288.070556640625,True,False
21,TBX3,fixed_test_perturbation_gene,280.0797424316406,True,False
22,TP73,fixed_test_perturbation_gene,1146.716796875,True,False
23,ZC3HAV1,fixed_test_perturbation_gene,47221.75,True,False
24,AHR,training_or_validation_perturbation_gene,290.2347717285156,True,False
25,ARID1A,training_or_validation_perturbation_gene,34978.00390625,True,False
26,BAK1,training_or_validation_perturbation_gene,12435.36328125,True,False
27,BCL2L11,training_or_validation_perturbation_gene,14848.6044921875,True,False
28,BCORL1,training_or_validation_perturbation_gene,6537.45556640625,True,False
29,CBL,training_or_validation_perturbation_gene,14183.064453125,True,False
30,CDKN1A,training_or_validation_perturbation_gene,1166.842529296875,True,False
31,CDKN1B,training_or_validation_perturbation_gene,7598.28466796875,True,False
32,CEBPE,training_or_validation_perturbation_gene,10232.2314453125,True,False
33,CITED1,training_or_validation_perturbation_gene,2811.911865234375,True,False
34,CKS1B,training_or_validation_perturbation_gene,112029.546875,True,False
35,CLDN6,training_or_validation_perturbation_gene,5781.56298828125,True,False
36,CNN1,training_or_validation_perturbation_gene,7723.3046875,True,False
37,CNNM4,training_or_validation_perturbation_gene,1396.5030517578125,True,False
38,DUSP9,training_or_validation_perturbation_gene,7201.07373046875,True,False
39,EGR1,training_or_validation_perturbation_gene,7678.79345703125,True,False
40,ETS2,training_or_validation_perturbation_gene,8521.89453125,True,False
41,FEV,training_or_validation_perturbation_gene,13944.16015625,True,False
42,FOSB,training_or_validation_perturbation_gene,488.66802978515625,True,False
43,FOXA1,training_or_validation_perturbation_gene,648.4928588867188,True,False
44,FOXA3,training_or_validation_perturbation_gene,3025.52587890625,True,False
45,FOXF1,training_or_validation_perturbation_gene,159.14898681640625,True,False
46,FOXL2,training_or_validation_perturbation_gene,15168.8583984375,True,False
47,FOXO4,training_or_validation_perturbation_gene,4329.51171875,True,False
48,GLB1L2,training_or_validation_perturbation_gene,1936.95654296875,True,False
49,HES7,training_or_validation_perturbation_gene,565.9960327148438,True,False
50,HNF4A,training_or_validation_perturbation_gene,100.27758026123047,True,False
51,HOXB9,training_or_validation_perturbation_gene,40057.29296875,True,False
52,HOXC13,training_or_validation_perturbation_gene,6491.578125,True,False
53,IER5L,training_or_validation_perturbation_gene,2940.03466796875,True,False
54,IGDCC3,training_or_validation_perturbation_gene,4242.6025390625,True,False
55,IKZF3,training_or_validation_perturbation_gene,11422.4970703125,True,False
56,IRF1,training_or_validation_perturbation_gene,4683.8798828125,True,False
57,ISL2,training_or_validation_perturbation_gene,3623.769287109375,True,False
58,JUN,training_or_validation_perturbation_gene,7460.55908203125,True,False
59,KIF18B,training_or_validation_perturbation_gene,5826.94775390625,True,False
60,KIF2C,training_or_validation_perturbation_gene,24702.15625,True,False
61,KLF1,training_or_validation_perturbation_gene,42205.8359375,True,False
62,KMT2A,training_or_validation_perturbation_gene,38548.4609375,True,False
63,LHX1,training_or_validation_perturbation_gene,5512.7607421875,True,False
64,LYL1,training_or_validation_perturbation_gene,79783.09375,True,False
65,MAML2,training_or_validation_perturbation_gene,844.35595703125,True,False
66,MAP2K3,training_or_validation_perturbation_gene,4130.5849609375,True,False
67,MAP2K6,training_or_validation_perturbation_gene,127.98535919189453,True,False
68,MAP4K3,training_or_validation_perturbation_gene,6702.89208984375,True,False
69,MAP4K5,training_or_validation_perturbation_gene,7729.71484375,True,False
70,MAP7D1,training_or_validation_perturbation_gene,36286.109375,True,False
71,MAPK1,training_or_validation_perturbation_gene,80187.5,True,False
72,MEIS1,training_or_validation_perturbation_gene,2288.835693359375,True,False
73,MIDN,training_or_validation_perturbation_gene,30593.271484375,True,False
74,NIT1,training_or_validation_perturbation_gene,6076.50927734375,True,False
75,OSR2,training_or_validation_perturbation_gene,4728.05322265625,True,False
76,PLK4,training_or_validation_perturbation_gene,7336.2421875,True,False
77,POU3F2,training_or_validation_perturbation_gene,4198.56787109375,True,False
78,PRDM1,training_or_validation_perturbation_gene,1699.4127197265625,True,False
79,PRTG,training_or_validation_perturbation_gene,1101.728515625,True,False
80,PTPN1,training_or_validation_perturbation_gene,32483.423828125,True,False
