target,condition,source_context,n_source_perturbed_cells,n_source_batches,n_source_control_cells
K562,AARS+ctrl,RPE1,56,35,11485
K562,AASDHPPT+ctrl,RPE1,61,36,11485
K562,ABCB10+ctrl,RPE1,26,18,11485
K562,ABCE1+ctrl,RPE1,48,34,11485
K562,ABCF1+ctrl,RPE1,82,45,11485
K562,ABT1+ctrl,RPE1,24,17,11485
K562,ACD+ctrl,RPE1,45,31,11485
K562,ACSS2+ctrl,RPE1,81,42,11485
K562,ACTB+ctrl,RPE1,232,54,11485
K562,ACTR10+ctrl,RPE1,28,23,11485
K562,ACTR6+ctrl,RPE1,103,46,11485
K562,ADAT3+ctrl,RPE1,286,56,11485
K562,AFG3L2+ctrl,RPE1,82,45,11485
K562,AHCTF1+ctrl,RPE1,71,38,11485
K562,AKIRIN2+ctrl,RPE1,29,22,11485
K562,ALDOA+ctrl,RPE1,70,39,11485
K562,ALG1+ctrl,RPE1,81,43,11485
K562,ALG13+ctrl,RPE1,43,32,11485
K562,ALG14+ctrl,RPE1,111,47,11485
K562,ANAPC1+ctrl,RPE1,71,36,11485
K562,ANAPC11+ctrl,RPE1,65,41,11485
K562,ANAPC13+ctrl,RPE1,111,46,11485
K562,ANAPC2+ctrl,RPE1,30,18,11485
K562,ANAPC5+ctrl,RPE1,40,30,11485
K562,ANKLE2+ctrl,RPE1,47,30,11485
K562,ANKRD17+ctrl,RPE1,24,21,11485
K562,ANKRD49+ctrl,RPE1,92,41,11485
K562,AP2M1+ctrl,RPE1,203,54,11485
K562,ARGLU1+ctrl,RPE1,91,48,11485
K562,ARHGAP6+ctrl,RPE1,50,36,11485
K562,ARL2+ctrl,RPE1,193,54,11485
K562,ARPC2+ctrl,RPE1,90,46,11485
K562,ARPC3+ctrl,RPE1,54,36,11485
K562,ASCC3+ctrl,RPE1,118,49,11485
K562,ATIC+ctrl,RPE1,85,43,11485
K562,ATL2+ctrl,RPE1,69,39,11485
K562,ATP11B+ctrl,RPE1,121,47,11485
K562,ATP2A2+ctrl,RPE1,135,50,11485
K562,ATP5F1C+ctrl,RPE1,41,33,11485
K562,ATP5MF+ctrl,RPE1,219,55,11485
K562,ATP6V0B+ctrl,RPE1,101,47,11485
K562,ATP6V0D1+ctrl,RPE1,91,43,11485
K562,ATP6V1A+ctrl,RPE1,76,41,11485
K562,ATP6V1D+ctrl,RPE1,52,35,11485
K562,ATP6V1E1+ctrl,RPE1,55,35,11485
K562,ATP6V1G1+ctrl,RPE1,124,48,11485
K562,ATR+ctrl,RPE1,158,52,11485
K562,ATRIP+ctrl,RPE1,74,41,11485
K562,ATXN10+ctrl,RPE1,55,32,11485
K562,AURKA+ctrl,RPE1,31,25,11485
K562,AURKAIP1+ctrl,RPE1,26,22,11485
K562,BANF1+ctrl,RPE1,27,21,11485
K562,BCAR1+ctrl,RPE1,593,56,11485
K562,BCAS2+ctrl,RPE1,33,26,11485
K562,BCL2L1+ctrl,RPE1,373,56,11485
K562,BDP1+ctrl,RPE1,42,32,11485
K562,BET1+ctrl,RPE1,67,39,11485
K562,BGLAP+ctrl,RPE1,59,36,11485
K562,BNIP1+ctrl,RPE1,57,36,11485
K562,BOD1L1+ctrl,RPE1,86,44,11485
K562,BRF1+ctrl,RPE1,60,37,11485
K562,BRF2+ctrl,RPE1,94,43,11485
K562,BRIX1+ctrl,RPE1,38,24,11485
K562,BRK1+ctrl,RPE1,47,31,11485
K562,BUB1B+ctrl,RPE1,102,44,11485
K562,C12orf60+ctrl,RPE1,42,29,11485
K562,C1D+ctrl,RPE1,51,33,11485
K562,C5orf30+ctrl,RPE1,43,33,11485
K562,C9orf16+ctrl,RPE1,152,51,11485
K562,C9orf78+ctrl,RPE1,92,42,11485
K562,CABIN1+ctrl,RPE1,161,55,11485
K562,CALR+ctrl,RPE1,73,38,11485
K562,CAMLG+ctrl,RPE1,155,52,11485
K562,CARS+ctrl,RPE1,48,32,11485
K562,CASC3+ctrl,RPE1,168,53,11485
K562,CAST+ctrl,RPE1,18,15,11485
K562,CCAR1+ctrl,RPE1,103,48,11485
K562,CCDC115+ctrl,RPE1,52,36,11485
K562,CCDC130+ctrl,RPE1,93,45,11485
K562,CCDC137+ctrl,RPE1,40,30,11485
K562,CCDC59+ctrl,RPE1,44,32,11485
K562,CCDC6+ctrl,RPE1,1051,56,11485
K562,CCDC78+ctrl,RPE1,492,56,11485
K562,CCDC84+ctrl,RPE1,42,28,11485
K562,CCNH+ctrl,RPE1,69,43,11485
K562,CCNK+ctrl,RPE1,273,55,11485
K562,CCNL1+ctrl,RPE1,51,30,11485
K562,CCNQ+ctrl,RPE1,40,29,11485
K562,CCT4+ctrl,RPE1,55,37,11485
K562,CCT7+ctrl,RPE1,54,36,11485
K562,CD2BP2+ctrl,RPE1,59,39,11485
K562,CD3EAP+ctrl,RPE1,38,25,11485
K562,CDC123+ctrl,RPE1,31,23,11485
K562,CDC45+ctrl,RPE1,23,20,11485
K562,CDC5L+ctrl,RPE1,66,44,11485
K562,CDC6+ctrl,RPE1,78,40,11485
K562,CDC7+ctrl,RPE1,30,22,11485
K562,CDC73+ctrl,RPE1,56,38,11485
K562,CDCA5+ctrl,RPE1,84,41,11485
K562,CDIPT+ctrl,RPE1,81,46,11485
K562,CDK12+ctrl,RPE1,60,39,11485
K562,CDK2+ctrl,RPE1,204,54,11485
K562,CENPE+ctrl,RPE1,34,27,11485
K562,CENPK+ctrl,RPE1,70,40,11485
K562,CENPN+ctrl,RPE1,73,38,11485
K562,CENPP+ctrl,RPE1,27,23,11485
K562,CEP192+ctrl,RPE1,53,31,11485
K562,CEP85+ctrl,RPE1,67,36,11485
K562,CFL1+ctrl,RPE1,139,52,11485
K562,CHCHD3+ctrl,RPE1,42,28,11485
K562,CHCHD4+ctrl,RPE1,136,51,11485
K562,CHD4+ctrl,RPE1,109,44,11485
K562,CHEK1+ctrl,RPE1,49,30,11485
K562,CHMP5+ctrl,RPE1,64,37,11485
K562,CHORDC1+ctrl,RPE1,142,54,11485
K562,CHTF18+ctrl,RPE1,118,48,11485
K562,CIAO1+ctrl,RPE1,88,48,11485
K562,CINP+ctrl,RPE1,40,27,11485
K562,CKAP5+ctrl,RPE1,83,46,11485
K562,CLNS1A+ctrl,RPE1,68,39,11485
K562,CLOCK+ctrl,RPE1,647,56,11485
K562,CLP1+ctrl,RPE1,27,22,11485
K562,CMTR1+ctrl,RPE1,80,41,11485
K562,CNOT10+ctrl,RPE1,88,45,11485
K562,CNOT11+ctrl,RPE1,67,37,11485
K562,CNOT2+ctrl,RPE1,62,40,11485
K562,CNOT3+ctrl,RPE1,54,37,11485
K562,CNOT9+ctrl,RPE1,32,25,11485
K562,COASY+ctrl,RPE1,59,35,11485
K562,COG1+ctrl,RPE1,66,37,11485
K562,COG4+ctrl,RPE1,62,36,11485
K562,COG6+ctrl,RPE1,94,47,11485
K562,COMTD1+ctrl,RPE1,138,48,11485
K562,COPB1+ctrl,RPE1,15,13,11485
K562,COPS2+ctrl,RPE1,41,27,11485
K562,COPS4+ctrl,RPE1,42,33,11485
K562,COQ4+ctrl,RPE1,40,30,11485
K562,COTL1+ctrl,RPE1,111,46,11485
K562,COX11+ctrl,RPE1,114,49,11485
K562,CPSF1+ctrl,RPE1,50,35,11485
K562,CPSF3+ctrl,RPE1,173,55,11485
K562,CPSF4+ctrl,RPE1,32,22,11485
K562,CPSF6+ctrl,RPE1,25,18,11485
K562,CRCP+ctrl,RPE1,91,46,11485
