dataset_name,setting,coverage_target,seed,n_contexts_total,n_perturbations_total,n_contexts_visible,n_perturbations_visible,n_train_visible_block,n_test_outside_block,n_unseen_context_unseen_perturbation,n_unseen_context_seen_perturbation,n_seen_context_unseen_perturbation,n_inside_visible_block
Haber,E34_submatrix,0.25,0,8,3,4,2,8,16,4.0,8.0,4.0,8
Haber,E34_submatrix,0.25,1,8,3,4,2,8,16,4.0,8.0,4.0,8
Haber,E34_submatrix,0.25,2,8,3,4,2,8,16,4.0,8.0,4.0,8
Haber,E34_submatrix,0.5,0,8,3,6,3,18,6,,6.0,,18
Haber,E34_submatrix,0.5,1,8,3,6,3,18,6,,6.0,,18
Haber,E34_submatrix,0.5,2,8,3,6,3,18,6,,6.0,,18
Haber,E34_submatrix,0.75,0,8,3,7,3,21,3,,3.0,,21
Haber,E34_submatrix,0.75,1,8,3,7,3,21,3,,3.0,,21
Haber,E34_submatrix,0.75,2,8,3,7,3,21,3,,3.0,,21
Parekh,E34_submatrix,0.25,0,3,10,2,5,10,20,5.0,5.0,10.0,10
Parekh,E34_submatrix,0.25,1,3,10,2,5,10,20,5.0,5.0,10.0,10
Parekh,E34_submatrix,0.25,2,3,10,2,5,10,20,5.0,5.0,10.0,10
Parekh,E34_submatrix,0.5,0,3,10,3,8,24,6,,,6.0,24
Parekh,E34_submatrix,0.5,1,3,10,3,8,24,6,,,6.0,24
Parekh,E34_submatrix,0.5,2,3,10,3,8,24,6,,,6.0,24
Parekh,E34_submatrix,0.75,0,3,10,3,9,27,3,,,3.0,27
Parekh,E34_submatrix,0.75,1,3,10,3,9,27,3,,,3.0,27
Parekh,E34_submatrix,0.75,2,3,10,3,9,27,3,,,3.0,27
sciplex3,E34_submatrix,0.25,0,3,36,2,18,35,70,18.0,18.0,34.0,35
sciplex3,E34_submatrix,0.25,1,3,36,2,18,36,69,16.0,17.0,36.0,36
sciplex3,E34_submatrix,0.25,2,3,36,2,18,36,69,16.0,17.0,36.0,36
sciplex3,E34_submatrix,0.5,0,3,36,3,26,75,30,,,30.0,75
sciplex3,E34_submatrix,0.5,1,3,36,3,26,76,29,,,29.0,76
sciplex3,E34_submatrix,0.5,2,3,36,3,26,75,30,,,30.0,75
sciplex3,E34_submatrix,0.75,0,3,36,3,32,94,11,,,11.0,94
sciplex3,E34_submatrix,0.75,1,3,36,3,32,93,12,,,12.0,93
sciplex3,E34_submatrix,0.75,2,3,36,3,32,93,12,,,12.0,93
ShifrutMarson2018,E34_submatrix,0.25,0,2,20,1,10,10,30,10.0,10.0,10.0,10
ShifrutMarson2018,E34_submatrix,0.25,1,2,20,1,10,10,30,10.0,10.0,10.0,10
ShifrutMarson2018,E34_submatrix,0.25,2,2,20,1,10,10,30,10.0,10.0,10.0,10
ShifrutMarson2018,E34_submatrix,0.5,0,2,20,2,15,30,10,,,10.0,30
ShifrutMarson2018,E34_submatrix,0.5,1,2,20,2,15,30,10,,,10.0,30
ShifrutMarson2018,E34_submatrix,0.5,2,2,20,2,15,30,10,,,10.0,30
ShifrutMarson2018,E34_submatrix,0.75,0,2,20,2,18,36,4,,,4.0,36
ShifrutMarson2018,E34_submatrix,0.75,1,2,20,2,18,36,4,,,4.0,36
ShifrutMarson2018,E34_submatrix,0.75,2,2,20,2,18,36,4,,,4.0,36
