dataset_name,setting,split_id,heldout,n_train,n_test,shared_opposite_axis_count,cold_start_level
Haber,E35_row_holdout,Haber::E35_row_holdout::Endocrine,Endocrine,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::Enterocyte,Enterocyte,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::Enterocyte_Progenitor,Enterocyte_Progenitor,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::Goblet,Goblet,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::Stem,Stem,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::TA,TA,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::TA_Early,TA_Early,21,3,3,new_context
Haber,E35_row_holdout,Haber::E35_row_holdout::Tuft,Tuft,21,3,3,new_context
Haber,E35_column_holdout,Haber::E35_column_holdout::Hpoly_Day10,Hpoly_Day10,16,8,8,new_perturbation
Haber,E35_column_holdout,Haber::E35_column_holdout::Hpoly_Day3,Hpoly_Day3,16,8,8,new_perturbation
Haber,E35_column_holdout,Haber::E35_column_holdout::Salmonella,Salmonella,16,8,8,new_perturbation
Parekh,E35_row_holdout,Parekh::E35_row_holdout::endothelial,endothelial,20,10,10,new_context
Parekh,E35_row_holdout,Parekh::E35_row_holdout::hPSC,hPSC,20,10,10,new_context
Parekh,E35_row_holdout,Parekh::E35_row_holdout::multilineage,multilineage,20,10,10,new_context
Parekh,E35_column_holdout,Parekh::E35_column_holdout::ASCL3,ASCL3,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::CDX2,CDX2,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::FOXP1,FOXP1,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::HAND2,HAND2,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::HOXA10,HOXA10,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::KLF4,KLF4,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::LMX1A,LMX1A,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::MYOG,MYOG,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::SNAI2,SNAI2,27,3,3,new_perturbation
Parekh,E35_column_holdout,Parekh::E35_column_holdout::SPI1,SPI1,27,3,3,new_perturbation
sciplex3,E35_row_holdout,sciplex3::E35_row_holdout::A549,A549,69,36,36,new_context
sciplex3,E35_row_holdout,sciplex3::E35_row_holdout::K562,K562,69,36,36,new_context
sciplex3,E35_row_holdout,sciplex3::E35_row_holdout::MCF7,MCF7,72,33,33,new_context
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Alvespimycin_10.0,Alvespimycin_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Alvespimycin_100.0,Alvespimycin_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Alvespimycin_1000.0,Alvespimycin_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Alvespimycin_10000.0,Alvespimycin_10000.0,103,2,2,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Belinostat_10.0,Belinostat_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Belinostat_100.0,Belinostat_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Belinostat_1000.0,Belinostat_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Belinostat_10000.0,Belinostat_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Dacinostat_10.0,Dacinostat_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Dacinostat_100.0,Dacinostat_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Dacinostat_1000.0,Dacinostat_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Dacinostat_10000.0,Dacinostat_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Flavopiridol_10.0,Flavopiridol_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Flavopiridol_100.0,Flavopiridol_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Flavopiridol_1000.0,Flavopiridol_1000.0,103,2,2,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Flavopiridol_10000.0,Flavopiridol_10000.0,103,2,2,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Givinostat_10.0,Givinostat_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Givinostat_100.0,Givinostat_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Givinostat_1000.0,Givinostat_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Givinostat_10000.0,Givinostat_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Hesperadin_10.0,Hesperadin_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Hesperadin_100.0,Hesperadin_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Hesperadin_1000.0,Hesperadin_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Hesperadin_10000.0,Hesperadin_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Quisinostat_10.0,Quisinostat_10.0,102,3,3,new_perturbation
