panel,split,condition,n_cells,is_single_gene,condition_selected_before_prescribe_run,prescribe_prediction_or_uncertainty_used_for_selection,source_split_csv,split_csv_sha256
Norman_P1,train,ctrl,11855,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+PTPN12,335,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+PTPN9,306,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+TGFBR2,188,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+UBASH3A,64,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+UBASH3B,410,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CBL+ctrl,663,True,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CDKN1A+CDKN1B,134,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CDKN1A+CDKN1C,126,False,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
Norman_P1,train,CDKN1A+ctrl,360,True,True,False,docs/实验结果/E67_norman_scgpt_formal_fixed_panel_20260711/tables/E67_FIXED_SPLIT.csv,sha256:d255779a36ca64b146f204dbdb5b499d652b459d6a06785dd396ed770b994e5d
