scope,status,evidence,safe_claim,caveat
Leakage precheck,strong,"B4a PASS, 9 checks, 0 FAIL",B1 can be interpreted as a prechecked retrieval audit.,Full reproducibility lock still belongs to C4b.
Simple predictor task risk,strong_with_boundary,"A1 task variance fraction=0.936, V0/ContextSim Pearson=0.884",Task difficulty dominates among tested simple predictors.,Do not generalize this statement to all deep predictors.
Bad-prediction retrieval,useful_but_not_dominant,safeconf_lodo top10 macro=2.313; predicted_magnitude top10 macro=3.300,SafeConf LODO enriches bad predictions above random in most datasets.,Predicted magnitude is stronger at macro top10 and must remain a main comparator.
Magnitude baseline vs LODO,magnitude_stronger_than_lodo,"predicted_magnitude macro top10=3.300 vs LODO=2.313; predicted_magnitude is stronger in 5/7 datasets; LODO only meaningfully beats magnitude in Santinha",LODO has above-random cross-dataset screening value.,Incremental value over deployable magnitude is limited and must be framed as transfer/calibration value rather than universal dominance.
McFarland,failure_rescue_boundary,frozen partial=-0.081; LODO partial=0.162; B1 lodo=2.356,Frozen v0.2 fails; learned LODO provides partial rescue and useful retrieval.,Never present McFarland as a frozen v0.2 success.
Santinha,weak_positive,B1 lodo=1.444; predicted_magnitude=0.902,Some retrieval value remains.,"Keep as weak/supportive, not a headline win."
Lara exvivo LODO,lodo_retrieval_failure,"LODO top5=0.593 and top10=0.612 below random; frozen_v02 top10=7.798; perdataset top10=7.186",Frozen and per-dataset scoring can retrieve bad Lara_exvivo predictions strongly.,LODO transfer fails in the top-risk tail here; report separately rather than hiding behind 6/7 macro wording.
Lara invivo,predictor_difference_caution,B1 lodo=1.733; frozen=2.533,Risk retrieval is positive.,"A1 showed larger V0/ContextSim difference here, so discuss separately."
GEARS,no_safeconf_gears_score_yet,"C1 scoreable retrieval rows are Frangieh-only; evaluated GEARS score is prediction magnitude; GEARS uncertainty top10 enrichment=0.000",Existing GEARS records support provenance/dedup and magnitude diagnostics only.,Current work has not shown frozen v0.2 / LODO / per-dataset SafeConf scores on GEARS predictions.
External small-n,supportive_only,External rows=4,External validation is directionally supportive.,Small-n and uncertain AURC intervals prevent strong claims.
