path,status,n_rows,unique_dataset,n_unique_dataset,unique_dataset_name,n_unique_dataset_name,unique_score_name,n_unique_score_name,unique_score_type,n_unique_score_type,unique_predictor_name,n_unique_predictor_name,splits,n_test_rows,unique_seed,n_unique_seed
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/benchmark_phase3_blind/tables/GEARS_SUPPLEMENT_TABLE.csv,ok,3,adamson;dixit;norman,3.0,,,,,,,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,5,,,ALL;adamson;dixit;norman,4.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,54,,,adamson;dixit;norman,3.0,,,,,GEARS,1.0,test,54.0,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_RISK_COVERAGE.csv,ok,18,,,adamson;dixit;norman,3.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,3,,,ALL;adamson,2.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,7,,,adamson,1.0,,,,,GEARS,1.0,test,7.0,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_RISK_COVERAGE.csv,ok,6,,,adamson,1.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,6,,,ALL;adamson,2.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,7,,,adamson,1.0,,,,,GEARS,1.0,test,7.0,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_RISK_COVERAGE.csv,ok,12,,,adamson,1.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_adapter_smoke_20260605/GEARS_PREDICTION_RECORD_STATUS.csv,ok,3,frangieh,1.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,6,,,ALL;frangieh,2.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,62,,,frangieh,1.0,,,,,GEARS,1.0,test,62.0,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_RISK_COVERAGE.csv,ok,12,,,frangieh,1.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_probe_20260605/GEARS_PREDICTION_RECORD_STATUS.csv,ok,3,frangieh,1.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_uncertainty_probe_20260605/GEARS_PREDICTION_RECORD_STATUS.csv,ok,1,frangieh,1.0,,,,,,,,,single,0.0,1,1.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_prediction_records_formal/GEARS_PREDICTION_RECORD_STATUS.csv,ok,9,adamson;dixit;norman,3.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_prediction_records_smoke/GEARS_PREDICTION_RECORD_STATUS.csv,ok,2,adamson,1.0,,,,,,,,,single,0.0,1,1.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_prediction_records_uncertainty_smoke/GEARS_PREDICTION_RECORD_STATUS.csv,ok,1,adamson,1.0,,,,,,,,,single,0.0,2,1.0
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,6,,,ALL;frangieh,2.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,62,,,frangieh,1.0,,,,,GEARS,1.0,test,62.0,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_RISK_COVERAGE.csv,ok,12,,,frangieh,1.0,gears_prediction_magnitude_risk;gears_uncertainty_confidence,2.0,confidence;risk,2.0,,,,,,
/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_smoke_20260607/GEARS_PREDICTION_RECORD_STATUS.csv,ok,3,frangieh,1.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj_task_risk_audit_20260611/discuss/03_讨论包_Claude讨论包/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,5,,,ALL;adamson;dixit;norman,4.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj_task_risk_audit_20260611/discuss/03_讨论包_Claude讨论包/tables/GEARS_PREDICTION_RECORD_STATUS.csv,ok,9,adamson;dixit;norman,3.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj_task_risk_audit_20260611/discuss/05_方案演进/gears_formal/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,5,,,ALL;adamson;dixit;norman,4.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj_task_risk_audit_20260611/discuss/05_方案演进/gears_formal/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,54,,,adamson;dixit;norman,3.0,,,,,GEARS,1.0,test,54.0,,
/home/yyf/proj_task_risk_audit_20260611/discuss/05_方案演进/gears_formal/GEARS_PREDICTION_RECORD_STATUS.csv,ok,9,adamson;dixit;norman,3.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj_task_risk_audit_20260611/discuss/05_方案演进/gears_formal/GEARS_RISK_COVERAGE.csv,ok,18,,,adamson;dixit;norman,3.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj_task_risk_audit_20260611/discuss/10_实验结果_摘要/gears_formal/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,5,,,ALL;adamson;dixit;norman,4.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj_task_risk_audit_20260611/discuss/10_实验结果_摘要/gears_formal/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,54,,,adamson;dixit;norman,3.0,,,,,GEARS,1.0,test,54.0,,
/home/yyf/proj_task_risk_audit_20260611/discuss/10_实验结果_摘要/gears_formal/GEARS_PREDICTION_RECORD_STATUS.csv,ok,9,adamson;dixit;norman,3.0,,,,,,,,,single,0.0,1;2;3,3.0
/home/yyf/proj_task_risk_audit_20260611/discuss/10_实验结果_摘要/gears_formal/GEARS_RISK_COVERAGE.csv,ok,18,,,adamson;dixit;norman,3.0,gears_prediction_magnitude_risk,1.0,risk,1.0,,,,,,
/home/yyf/proj_task_risk_audit_20260611/discuss/10_实验结果_摘要/phase3/GEARS_SUPPLEMENT_TABLE.csv,ok,3,adamson;dixit;norman,3.0,,,,,,,,,,,,
/home/yyf/proj_task_risk_audit_20260611/docs/实验结果/Formal_main_20260604/gears_frangieh_adapter_smoke/tables/GEARS_PREDICTION_RECORD_STATUS.csv,ok,3,frangieh,1.0,,,,,,,,,single,0.0,1;2;3,3.0
