context,perturbation,is_e149_selected_perturbation,expected_cells_selection,expected_cells_manifest,observed_cells_asset,observed_batches,observed_guide_entities,observed_transcript_groups,coverage_exact_match
K562,control,False,,,10691,48,97,1,True
K562,ACTR6,True,108,108,108,44,1,1,True
K562,ADSL,True,133,133,133,45,1,1,True
K562,ANAPC15,True,424,424,424,48,1,1,True
K562,ANKRD11,True,260,260,260,48,1,1,True
K562,ARL4D,True,120,120,120,43,1,1,True
K562,ASF1B,True,284,284,284,48,1,1,True
K562,ATP6AP2,True,175,175,175,45,1,1,True
K562,ATR,True,141,141,141,45,1,1,True
K562,BRIP1,True,132,132,132,45,1,1,True
K562,CCNB1,True,158,158,158,42,1,1,True
K562,CCNK,True,327,327,327,48,2,2,True
K562,CDK2,True,105,105,105,44,1,1,True
K562,CHMP6,True,624,624,624,48,1,1,True
K562,CHORDC1,True,259,259,259,48,1,1,True
K562,CKAP5,True,315,315,315,48,2,2,True
K562,COA5,True,175,175,175,47,1,1,True
K562,COX6C,True,117,117,117,47,1,1,True
K562,CPNE7,True,101,101,101,42,1,1,True
K562,CSTF1,True,141,141,141,44,1,1,True
K562,CYCS,True,163,163,163,44,1,1,True
K562,DAP3,True,162,162,162,46,1,1,True
K562,DCAF6,True,137,137,137,45,1,1,True
K562,DCTN2,True,126,126,126,43,1,1,True
K562,DDX1,True,101,101,101,44,1,1,True
K562,DDX19B,True,285,285,285,48,2,2,True
K562,DDX5,True,151,151,151,46,1,1,True
K562,DNAJA1,True,292,292,292,47,2,2,True
K562,DNAJC19,True,398,398,398,48,1,1,True
K562,DNM1,True,146,146,146,45,1,1,True
K562,DNMT1,True,170,170,170,46,1,1,True
K562,DRAP1,True,227,227,227,47,1,1,True
K562,DRG1,True,196,196,196,46,1,1,True
K562,DYNLRB1,True,282,282,282,48,2,2,True
K562,EFTUD2,True,127,127,127,45,1,1,True
K562,EIF2B2,True,319,319,319,48,1,1,True
K562,EIF2B3,True,104,104,104,41,1,1,True
K562,ELOVL1,True,176,176,176,46,1,1,True
K562,EMC3,True,195,195,195,47,2,2,True
K562,ERAL1,True,116,116,116,45,1,1,True
K562,FNBP4,True,160,160,160,44,1,1,True
K562,GFM1,True,240,240,240,47,1,1,True
K562,GMPPB,True,164,164,164,48,1,1,True
K562,GNPNAT1,True,112,112,112,40,1,1,True
K562,GON4L,True,237,237,237,48,2,2,True
K562,GRPEL1,True,123,123,123,44,1,1,True
K562,GRSF1,True,172,172,172,43,1,1,True
K562,GUK1,True,118,118,118,45,1,1,True
K562,HMGB1,True,241,241,241,48,2,2,True
K562,HSP90B1,True,114,114,114,43,1,1,True
K562,HSPA8,True,255,255,255,47,1,1,True
K562,ISCA2,True,232,232,232,48,1,1,True
K562,KPNB1,True,366,366,366,48,1,1,True
K562,LAMTOR4,True,136,136,136,44,1,1,True
K562,LIN54,True,306,306,306,47,2,2,True
