dataset,modality,fold_id,setting,split,n_tasks,min_cells,median_cells
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,context_unseen_row,test,68,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,perturbation_unseen_column,test,90,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,random_missing_pair,test,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,source_train_pair,train,280,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_1_Macrophage,source_validation_pair,val,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,context_unseen_row,test,68,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,perturbation_unseen_column,test,90,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,random_missing_pair,test,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,source_train_pair,train,280,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_2_MigDC,source_validation_pair,val,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,context_unseen_row,test,68,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,perturbation_unseen_column,test,90,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,random_missing_pair,test,30,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,source_train_pair,train,280,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_3_T_cell_CD4,source_validation_pair,val,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,context_unseen_row,test,68,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,perturbation_unseen_column,test,90,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,random_missing_pair,test,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,source_train_pair,train,280,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_4_T_cell_CD8,source_validation_pair,val,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,context_unseen_row,test,68,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,perturbation_unseen_column,test,90,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,random_missing_pair,test,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,source_train_pair,train,280,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_5_T_cell_gd,source_validation_pair,val,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,context_and_perturbation_unseen,test,18,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,context_unseen_row,test,68,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,perturbation_unseen_column,test,90,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,random_missing_pair,test,30,100,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,source_train_pair,train,280,97,100.0
Cui,cytokine_stimulus,Cui_context_holdout_6_Treg,source_validation_pair,val,30,100,100.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,context_and_perturbation_unseen,test,7,138,244.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,context_unseen_row,test,24,120,292.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,perturbation_unseen_column,test,28,66,281.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,random_missing_pair,test,10,87,465.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,source_train_pair,train,76,58,259.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_1_EBMP,source_validation_pair,val,10,60,163.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,context_and_perturbation_unseen,test,7,68,290.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,context_unseen_row,test,24,143,410.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,perturbation_unseen_column,test,28,58,275.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,random_missing_pair,test,10,92,246.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,source_train_pair,train,76,60,240.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_2_GMP,source_validation_pair,val,10,120,253.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),context_and_perturbation_unseen,test,7,141,448.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),context_unseen_row,test,24,73,445.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),perturbation_unseen_column,test,28,68,242.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),random_missing_pair,test,10,121,225.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),source_train_pair,train,76,58,239.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_3_GMP_(late),source_validation_pair,val,10,66,209.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,context_and_perturbation_unseen,test,7,92,226.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,context_unseen_row,test,24,60,191.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,perturbation_unseen_column,test,28,58,295.5
